"","Player","Span","Mat","Start","Sub","Pts","Tries","Conv","Pens","Drop","GfM","Won","Lost","Draw","%"
"11163","J Knox (Scot)","1903-1903",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11164","V Kobzev (Russ)","2007-2008",3,1,2,"0",0,0,0,0,0,1,2,0,33.33
"11165","MJ Kokan (Can)","1984-1985",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11166","O Koliloa (Fiji)","1986-1986",3,3,0,"4",1,0,0,0,0,2,1,0,66.66
"11167","T Kolo (Tonga)","1993-1995",3,2,1,"5",1,0,0,0,0,1,2,0,33.33
"11168","OPV Koloamatangi (Tonga)","2011-2012",3,1,2,"0",0,0,0,0,0,2,1,0,66.66
"11169","TMPM Koloamatangi (Tonga)","2016-2016",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11170","ARW Komaitai (Fiji)","1992-1993",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11171","A Komarov (Russ)","1994-1995",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11172","S Konev (Kazak)","2010-2012",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11173","V Kononov (Russ)","2018-2019",3,1,2,"5",1,0,0,0,0,2,1,0,66.66
"11174","C Korn (Germ)","2018-2018",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11175","A Kororua (Fiji)","1938-1938",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11176","N Korovata (Fiji)","1990-1991",3,3,0,"16",4,0,0,0,0,2,1,0,66.66
"11177","I Korovulavula (Fiji)","1938-1939",3,3,0,"3",1,0,0,0,0,2,1,0,66.66
"11178","E Kosolapov (Russ)","1992-2000",3,2,1,"0",0,0,0,0,0,2,1,0,66.66
"11179","V Krasnodemskiy (Ukr)","2011-2012",3,3,0,"3",0,0,1,0,0,1,2,0,33.33
"11180","D Krasnoshchok (Ukr)","2005-2006",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11181","E Krossler (Arg)","1960-1960",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11182","JL Kruger (Namib)","2001-2001",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11183","R Kruger (Namib)","2003-2005",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11184","H Kruse (Samoa)","1963-1963",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11185","K Kubota (JPN)","2004-2004",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11186","H Kuijer (Neth)","2002-2002",3,3,0,"12",0,0,4,0,0,0,3,0,0
"11187","A Kulik (Ukr)","2012-2012",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11188","I Kunagogo (Fiji)","1980-1980",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11189","E Kuparadze (Georg)","2007-2014",3,1,2,"0",0,0,0,0,0,1,2,0,33.33
"11190","S Kurihara (JPN)","1986-1987",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11191","R Kuruisiga (Fiji)","1926-1926",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11192","T Kusumi (JPN)","2007-2008",3,1,2,"10",2,0,0,0,0,1,2,0,33.33
"11193","Y Kuwazuru (JPN)","2012-2012",3,0,3,"10",2,0,0,0,0,3,0,0,100
"11194","D Kyrsanov (Ukr)","2006-2008",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11195","JS Kyun (Korea)","2006-2007",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11196","B Laban (Samoa)","1955-1957",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11197","EH Laborde (Arg)","1991-1991",3,3,0,"3",0,0,1,0,0,0,3,0,0
"11198","R Lacoste (Fra)","1914-1914",3,3,0,"3",1,0,0,0,0,0,3,0,0
"11199","Y Lafarge (Fra)","1978-1981",3,2,1,"0",0,0,0,0,0,2,1,0,66.66
"11200","KF Laidlaw (NZ)","1960-1960",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11201","M Lalande (Fra)","1923-1923",3,3,0,"3",1,0,0,0,0,1,2,0,33.33
"11202","G Lalli (Belg)","2020-2020",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11203","JS Lamb (Aust)","1928-1928",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11204","GAW Lamond (Scot)","1899-1905",3,3,0,"4",0,0,0,1,0,3,0,0,100
"11205","F Lamy (Arg)","2013-2013",3,1,2,"0",0,0,0,0,0,3,0,0,100
"11206","TA Lane (Aust)","1985-1985",3,3,0,"8",2,0,0,0,0,2,1,0,66.66
"11207","M Lanfranco (Arg)","1991-1991",3,2,1,"0",0,0,0,0,0,3,0,0,100
"11208","JC Langlade (Fra)","1990-1990",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11209","M Lanusse (Arg)","1951-1951",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11210","M Lapetina (Urug)","2000-2001",3,2,1,"5",1,0,0,0,0,2,1,0,66.66
"11211","P Laporte (CdI)","1994-1994",3,1,2,"0",0,0,0,0,0,2,1,0,66.66
"11212","T Latailakepa (Tonga)","1992-1993",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11213","SG Latu (Tonga)","1992-1993",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11214","M Latunipulu (Tonga)","1926-1926",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11215","ST Laulaupeaalu (USA)","2008-2008",3,0,3,"0",0,0,0,0,0,0,3,0,0
"11216","J Laurent (Fra)","1920-1920",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11217","A Laurido (Urug)","1981-1985",3,3,0,"4",1,0,0,0,0,2,0,1,83.33
"11218","T Lavaki (Tonga)","1990-1993",3,2,1,"0",0,0,0,0,0,1,2,0,33.33
"11219","J Lavayen (Arg)","1961-1961",3,3,0,"3",1,0,0,0,0,3,0,0,100
"11220","F Lavino Zona (Spain)","2004-2006",3,0,3,"0",0,0,0,0,0,2,1,0,66.66
"11221","PJ Lawlor (Ire)","1990-1993",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11222","KG Lawrie (Scot)","1980-1980",3,2,1,"0",0,0,0,0,0,1,2,0,33.33
"11223","P Lazaro Ochaita (Spain)","1971-1975",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11224","WRM Leake (Eng)","1891-1891",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11225","LMC Leal (Port)","2013-2013",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11226","S Leaupepe (Samoa)","1979-1980",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11227","A Leavasa (Samoa)","1979-1980",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11228","GB Legh (Can)","1973-1976",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11229","F Leipert (Germ)","1927-1931",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11230","H Leipert (Germ)","1927-1929",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11231","L Lepatey (Fra)","1924-1924",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11232","A Lerma (Urug)","1964-1964",3,3,0,"14",0,1,2,2,0,1,2,0,33.33
"11233","JHS le Roux (SA)","1994-1994",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11234","PA le Roux (SA)","1906-1906",3,3,0,"0",0,0,0,0,0,2,0,1,83.33
"11235","JC Lett (USA)","2008-2008",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11236","MT Leuta (USA)","2016-2017",3,2,1,"0",0,0,0,0,0,0,2,1,16.66
"11237","S Levaggi (Urug)","2007-2008",3,0,3,"0",0,0,0,0,0,0,3,0,0
"11238","L Levy (Spain)","2018-2019",3,2,1,"2",0,1,0,0,0,1,2,0,33.33
"11239","KP Lewis (Ire)","2005-2007",3,1,2,"0",0,0,0,0,0,1,2,0,33.33
"11240","TW Lewis (Wales)","1926-1927",3,3,0,"0",0,0,0,0,0,0,2,1,16.66
"11241","R Leyland (Eng)","1935-1935",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11242","JM Lhermet (Fra)","1990-1993",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11243","S Liaina (Samoa)","1963-1963",3,3,0,"6",1,0,0,0,0,0,3,0,0
"11244","JH Lik (USA)","2005-2005",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11245","L Lile (Tonga)","2002-2003",3,1,2,"0",0,0,0,0,0,1,2,0,33.33
"11246","V Lilidamu (Fiji)","1986-1988",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11247","B Liluashvili (Georg)","1989-1990",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11248","DF Lindsay (NZ)","1928-1928",3,3,0,"3",0,0,1,0,0,1,2,0,33.33
"11249","A Lino (Tonga)","1926-1926",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11250","M Liongitau (Tonga)","1924-1924",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11251","O Liparteliani (Georg)","1989-1990",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11252","M Liscovitz (USA)","1977-1978",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11253","D Lobendhan (Fiji)","1973-1976",3,3,0,"4",1,0,0,0,0,1,2,0,33.33
"11254","J Lobies (Fra)","1921-1921",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11255","GP Lochner (SA)","1937-1938",3,3,0,"3",1,0,0,0,0,3,0,0,100
"11256","TW Lockwood (Wales)","1887-1887",3,3,0,"0G",0,0,0,0,0,1,1,1,50
"11257","J Lombard (USA)","1977-1979",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11258","M Lopez (Urug)","1993-2001",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11259","J Lopez Gomez (Spain)","1935-1975",3,3,0,"4",1,0,0,0,0,1,1,1,50
"11260","J Lorenz (Can)","1966-1971",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11261","JF Lorenzo Berberana (Spain)","1976-1979",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11262","HDB Lorraine (Scot)","1933-1933",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11263","WK Lose (Tonga)","1995-1995",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11264","D Lotter (SA)","1993-1993",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11265","C Loubser (Namib)","1999-2005",3,2,1,"0",0,0,0,0,0,1,2,0,33.33
"11266","MJ Lourens (SA)","1968-1968",3,3,0,"3",1,0,0,0,0,2,0,1,83.33
"11267","FH Louw (SA)","2002-2002",3,2,1,"0",0,0,0,0,0,3,0,0,100
"11268","JS Louw (SA)","1891-1891",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11269","EW Love (Aust)","1932-1932",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11270","MH Luamanu (Samoa)","2018-2018",3,1,2,"0",0,0,0,0,0,1,2,0,33.33
"11271","A Lubkov (Russ)","2003-2005",3,1,2,"5",1,0,0,0,0,1,2,0,33.33
"11272","PG Lucas (Port)","2020-2020",3,0,3,"0",0,0,0,0,0,1,2,0,33.33
"11273","PW Lucas (Aust)","1982-1982",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11274","A Ludick (Namib)","2018-2018",3,2,1,"0",0,0,0,0,0,1,2,0,33.33
"11275","V Luscal (Rom)","1958-1958",3,3,0,"0",0,0,0,0,0,2,0,1,83.33
"11276","D Lussich (Urug)","2010-2010",3,2,1,"0",0,0,0,0,0,2,1,0,66.66
"11277","JB Lutumailagi (Fiji)","2013-2013",3,1,2,"2",0,1,0,0,0,2,1,0,66.66
"11278","TW Lynch (NZ)","1951-1951",3,3,0,"9",2,0,0,1,0,3,0,0,100
"11279","PJ Lyster (SA)","1933-1937",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11280","VJ Lyttle (Ire)","1938-1939",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11281","P Ma'afu (Tonga)","1959-1963",3,3,0,"3",1,0,0,0,0,2,1,0,66.66
"11282","RAM Ma'afu (Tonga)","2016-2016",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11283","BEW McCall (Wales)","1936-1936",3,3,0,"0",0,0,0,0,0,2,0,1,83.33
"11284","BW McCall (Ire)","1985-1986",3,2,1,"4",1,0,0,0,0,0,2,1,16.66
"11285","M McCallum (Scot)","2018-2018",3,0,3,"0",0,0,0,0,0,1,2,0,33.33
"11286","A McCarley (Wales)","1938-1938",3,3,0,"9",3,0,0,0,0,2,1,0,66.66
"11287","RJ McCarten (Ire)","1961-1961",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11288","N McCarthy (HK)","1997-1997",3,1,2,"0",0,0,0,0,0,2,1,0,66.66
"11289","N McCarthy (Eng)","1999-2000",3,0,3,"0",0,0,0,0,0,3,0,0,100
"11290","B McClenahan (USA)","2009-2011",3,0,3,"0",0,0,0,0,0,1,2,0,33.33
"11291","RO McClenahan (Ire)","1923-1923",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11292","S McCloskey (Ire)","2016-2018",3,3,0,"5",1,0,0,0,0,2,1,0,66.66
"11293","T McColl (HK)","2011-2014",3,2,1,"4",0,2,0,0,0,0,3,0,0
"11294","FM McCormac (Ire)","1909-1910",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11295","RH McCowan (Aust)","1899-1899",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11296","JF McCullough (NZ)","1959-1959",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11297","G McDonald (USA)","1989-1996",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11298","RN McDonald (Can)","1966-1970",3,3,0,"3",1,0,0,0,0,0,3,0,0
"11299","WA Macdonald (Scot)","1889-1892",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11300","JLH MacFarlane (Scot)","1871-1873",3,3,0,"0G",0,0,0,0,0,1,1,1,50
"11301","G McGhie (Aust)","1929-1930",3,3,0,"6",2,0,0,0,0,3,0,0,100
"11302","DG MacGregor (Scot)","1907-1907",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11303","B Mach (Fra)","2014-2014",3,1,2,"0",0,0,0,0,0,1,2,0,33.33
"11304","MJ McHugh (NZ)","1946-1949",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11305","SC McIvor (Ire)","1996-1997",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11306","CM Mackay (USA)","2008-2009",3,0,3,"0",0,0,0,0,0,0,3,0,0
"11307","J McKee (HK)","1994-1994",3,2,1,"64",2,24,2,0,0,3,0,0,100
"11308","PS McKee (HK)","2011-2014",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11309","GF McKellar (NZ)","1910-1910",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11310","JEH Mackinlay (Eng)","1872-1875",3,3,0,"0G",0,0,0,0,0,2,0,1,83.33
"11311","CI MacLaghlan (Can)","1981-1982",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11312","JD McLean (Aust)","1904-1905",3,3,0,"3",1,0,0,0,0,0,3,0,0
"11313","RRF MacLennan (Eng)","1925-1925",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11314","V McNamara (Ire)","1914-1914",3,3,0,"3",1,0,0,0,0,1,2,0,33.33
"11315","AM McNaughton (NZ)","1971-1971",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11316","DG Macpherson (NZ/Scot)","1905-1910",3,3,0,"3",1,0,0,0,0,2,1,0,66.66
"11317","T McQueen (HK)","2014-2015",3,2,1,"5",1,0,0,0,0,0,3,0,0
"11318","MN Madden (Ire)","1955-1955",3,3,0,"0",0,0,0,0,0,0,2,1,16.66
"11319","O Maestri (Italy)","1935-1937",3,2,1,"0",0,0,0,0,0,1,2,0,33.33
"11320","T Mafi (Tonga)","1934-1934",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11321","JP Magalhaes (Port)","1981-1981",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11322","H Magois (Fra)","1968-1968",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11323","E Magrath (Aust)","1961-1961",3,3,0,"3",1,0,0,0,0,1,2,0,33.33
"11324","G Magri (Urug)","1967-1971",3,3,0,"3",1,0,0,0,0,0,3,0,0
"11325","D Maguire (Can)","2016-2016",3,1,2,"5",1,0,0,0,0,2,1,0,66.66
"11326","DJ Maguire (Aust)","1989-1989",3,3,0,"4",1,0,0,0,0,1,2,0,33.33
"11327","JR Maguire (NZ)","1910-1910",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11328","S Mahe (Tonga)","1981-1981",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11329","MG Maia (Port)","1981-1981",3,2,1,"0",0,0,0,0,0,3,0,0,100
"11330","SE Maile (Tonga)","2019-2019",3,1,2,"0",0,0,0,0,0,1,2,0,33.33
"11331","F Mailei (Samoa)","1963-1963",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11332","T Maka (Tonga)","1979-1981",3,3,0,"4",1,0,0,0,0,2,1,0,66.66
"11333","I Makutu (Fiji)","1976-1976",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11334","K Malai (Fiji)","1988-1988",3,3,0,"4",1,0,0,0,0,2,0,1,83.33
"11335","M Malele (Samoa)","1979-1980",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11336","A Malinin (Russ)","1993-1994",3,3,0,"5",1,0,0,0,0,3,0,0,100
"11337","FWS Malir (Eng)","1930-1930",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11338","NG Malone (Ire)","1993-1994",3,2,1,"9",0,0,3,0,0,1,2,0,33.33
"11339","GP Mamea Lemalu (Samoa)","2016-2016",3,2,1,"0",0,0,0,0,0,1,2,0,33.33
"11340","R Mamin (Russ)","1998-1999",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11341","A Mammana (Arg)","1991-1997",3,1,2,"0",0,0,0,0,0,3,0,0,100
"11342","A Man (Rom)","1988-1988",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11343","CJ Man (Korea)","2004-2006",3,2,1,"0",0,0,0,0,0,0,2,1,16.66
"11344","EF Mandible (Aust)","1907-1908",3,3,0,"0",0,0,0,0,0,0,2,1,16.66
"11345","WE Mann (Eng)","1911-1911",3,3,0,"3",1,0,0,0,0,1,2,0,33.33
"11346","A Mannato (Italy)","2004-2005",3,2,1,"5",1,0,0,0,0,2,1,0,66.66
"11347","L Mano (Samoa)","1988-1988",3,3,0,"4",1,0,0,0,0,0,2,1,16.66
"11348","C Manole (Rom)","2016-2019",3,0,3,"0",0,0,0,0,0,2,1,0,66.66
"11349","J Marchant (Eng)","2019-2019",3,1,2,"5",1,0,0,0,0,3,0,0,100
"11350","T Marchenko (Ukr)","2012-2012",3,0,3,"0",0,0,0,0,0,1,2,0,33.33
"11351","M Marek (Czech)","2003-2004",3,0,3,"0",0,0,0,0,0,1,2,0,33.33
"11352","A Marescalchi (Italy)","1933-1937",3,2,1,"3",1,0,0,0,0,1,1,1,50
"11353","DYA Marfo (Scot)","2017-2017",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11354","K Marin (HK)","2006-2009",3,1,2,"0",0,0,0,0,0,0,3,0,0
"11355","I Marques (Urug)","1990-1991",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11356","AFWD Marsberg (SA)","1906-1906",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11357","GH Marsden (Eng)","1900-1900",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11358","G Marsh (JPN)","2007-2007",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11359","JH Marsh (Eng/Scot)","1889-1892",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11360","H Marshall (Eng/GB)","1891-1893",3,3,0,"6",3,0,0,0,0,2,1,0,66.66
"11361","NP Marshall (Spain)","2012-2013",3,0,3,"0",0,0,0,0,0,1,1,1,50
"11362","P Marshall (Ire)","2013-2013",3,0,3,"0",0,0,0,0,0,2,1,0,66.66
"11363","WC Martheze (SA)","1903-1906",3,3,0,"0",0,0,0,0,0,2,0,1,83.33
"11364","C Martin (Fra)","1909-1910",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11365","WJ Martin (Wales)","1912-1919",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11366","E Martinez (Arg)","1971-1971",3,3,0,"3",1,0,0,0,0,3,0,0,100
"11367","G Martinez Badaroux (Chile)","2017-2017",3,1,2,"0",0,0,0,0,0,0,3,0,0
"11368","G Martini (Italy)","1965-1968",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11369","G Martin Minguez (Spain)","2000-2000",3,2,1,"5",0,1,1,0,0,1,2,0,33.33
"11370","A Martin Sanchez (Spain)","1976-1978",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11371","SJP Mason (Ire)","1996-1996",3,3,0,"42",0,3,12,0,0,1,2,0,33.33
"11372","EJ Massey (Eng)","1925-1925",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11373","WH Masters (Scot)","1879-1880",3,3,0,"0G",1,0,0,0,0,2,1,0,66.66
"11374","P Matailina (Samoa)","1957-1957",3,3,0,"0",0,0,0,0,0,0,2,1,16.66
"11375","S Matalulu (Fiji)","1994-1994",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11376","T Matawalu (Fiji)","2005-2007",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11377","J Mata Sanchez (Spain)","2016-2016",3,3,0,"0G",0,0,0,0,0,0,3,0,0
"11378","A Mateescu (Rom)","1934-1936",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11379","W Mateiwai (Fiji)","1993-1993",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11380","JFJ Mateus (Port)","2012-2012",3,0,3,"0",0,0,0,0,0,0,3,0,0
"11381","T Matsubara (JPN)","1932-1934",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11382","H Matsuoka (JPN)","1952-1956",3,3,0,"11",1,1,2,0,0,0,3,0,0
"11383","S Matsuoka (JPN)","1970-1970",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11384","B Matthewman (Zimb)","1990-1990",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11385","JT Maturana (Chile)","2018-2018",3,0,3,"0",0,0,0,0,0,1,2,0,33.33
"11386","L Maurette (Arg)","1948-1952",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11387","DS Max (NZ)","1931-1934",3,3,0,"3",1,0,0,0,0,1,1,1,50
"11388","JE Maxwell-Hyslop (Eng)","1922-1922",3,3,0,"3",1,0,0,0,0,2,0,1,83.33
"11389","AF Maynard (Eng)","1914-1914",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11390","T Mayne (Ire)","1921-1921",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11391","XAA Mayssonnie (Fra)","1908-1910",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11392","F Mazzantini (Italy)","1965-1967",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11393","NN Meek (Wales)","1993-1993",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11394","N Meeus (Belg)","2014-2017",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11395","GWC Meikle (Eng)","1934-1934",3,3,0,"12",4,0,0,0,0,3,0,0,100
"11396","O Melniciuc (Rom)","2016-2016",3,0,3,"0",0,0,0,0,0,2,1,0,66.66
"11397","JBAE Melo (Port)","2018-2018",3,1,2,"0",0,0,0,0,0,2,1,0,66.66
"11398","CL Melville (Scot)","1937-1937",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11399","A Memoli (Arg)","1979-1979",3,3,0,"0",0,0,0,0,0,3,0,0,100
"11400","S Mendez Angelillo (Arg)","2013-2013",3,2,1,"5",1,0,0,0,0,3,0,0,100
"11401","A Menichetti (Chile)","2012-2013",3,2,1,"0",0,0,0,0,0,1,2,0,33.33
"11402","A Meredith (Wales)","1949-1949",3,3,0,"3",1,0,0,0,0,1,2,0,33.33
"11403","J Meredith (Samoa)","1963-1963",3,3,0,"3",0,0,1,0,0,0,3,0,0
"11404","P Merghisescu (Rom)","1960-1960",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11405","R Merzario (Urug)","1975-1975",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11406","J Metelo (Port)","1968-1968",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11407","A Metz (Germ)","2010-2010",3,0,3,"0",0,0,0,0,0,0,3,0,0
"11408","CDP Meyer (SA)","1921-1921",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11409","GM Michael (Wales)","1923-1923",3,3,0,"3",1,0,0,0,0,1,2,0,33.33
"11410","JP Michau (SA)","1921-1921",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11411","AT Michell (Eng)","1875-1875",3,3,0,"0G",1,0,0,0,0,2,0,1,83.33
"11412","E Miguens (Arg)","1975-1975",3,2,1,"8",2,0,0,0,0,3,0,0,100
"11413","BM Mika (NZ)","2002-2002",3,1,2,"0",0,0,0,0,0,1,1,1,50
"11414","G Militaru (Rom)","2016-2016",3,1,2,"0G",0,0,0,0,0,3,0,0,100
"11415","A Miller (Ire)","1880-1883",3,3,0,"0G",0,0,0,0,0,0,3,0,0
"11416","P Milliand (Fra)","1936-1937",3,3,0,"9",3,0,0,0,0,3,0,0,100
"11417","JG Millican (Scot)","1973-1973",3,3,0,"0",0,0,0,0,0,2,1,0,66.66
"11418","HM Milliken (NZ)","1938-1938",3,3,0,"3",1,0,0,0,0,3,0,0,100
"11419","CJB Milne (Scot)","1886-1886",3,3,0,"0G",0,0,0,0,0,2,0,1,83.33
"11420","A Mimesi (Arg)","1998-1998",3,1,2,"0",0,0,0,0,0,2,1,0,66.66
"11421","G Minadze (Russ)","2009-2010",3,2,1,"5",1,0,0,0,0,1,2,0,33.33
"11422","HY Ming (Taip)","2001-2002",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11423","S Misa (Tonga)","1926-1926",3,3,0,"3",1,0,0,0,0,2,1,0,66.66
"11424","M Mishima (JPN)","1930-1932",3,3,0,"0",0,0,0,0,0,2,0,1,83.33
"11425","GWE Mitchell (Scot)","1967-1968",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11426","JG Mitchell (Scot)","1885-1885",3,3,0,"0G",0,0,0,0,0,2,0,1,83.33
"11427","E Mitchelstein (Arg)","1956-1960",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11428","M Mitoma (JPN)","1953-1956",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11429","K Miyajima (JPN)","1959-1959",3,3,0,"6",0,0,2,0,0,0,2,1,16.66
"11430","U Moa (Tonga)","1998-1998",3,1,2,"0",0,0,0,0,0,0,3,0,0
"11431","P Moala (Tonga)","1981-1981",3,3,0,"4",1,0,0,0,0,1,2,0,33.33
"11432","S Moamanu (Samoa)","1985-1986",3,3,0,"0",0,0,0,0,0,0,3,0,0
"11433","V Mocelutu (Fiji)","1974-1974",3,3,0,"12",3,0,0,0,0,0,3,0,0
"11434","V Moeaki (Tonga)","1934-1934",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11435","C Moeliker (Neth)","2001-2002",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11436","JE Moffitt (NZ)","1921-1921",3,3,0,"0",0,0,0,0,0,1,1,1,50
"11437","JD Mogg (Aust)","2013-2013",3,2,1,"0",0,0,0,0,0,0,3,0,0
"11438","CC Moir (Scot)","2000-2000",3,3,0,"0",0,0,0,0,0,1,2,0,33.33
"11439","T Mokate (USA)","2012-2012",3,2,1,"5",1,0,0,0,0,1,2,0,33.33
